title,x,y,cluster
Army of Shadows,0.026317952704609113,0.004545572000274912,0
Faust,-0.11043479223922101,-0.1274040892308459,1
My Hero Academia: Two Heroes,-0.0015875106491493804,-0.008445498979380052,0
A Street Cat Named Bob,0.13381757869510658,-0.06726894366348651,3
Mulan,0.11505765147579597,-0.03126046201874957,0
Return of the Jedi,-0.024578301266655302,0.08557282091988018,0
Titanic,-0.0900389386484095,-0.06293800870387058,2
Guardians of the Galaxy,0.20601839145337178,-0.04479411426838569,0
Divorce Italian Style,-0.0273773973003683,-0.09012450856828602,3
Dragon Ball Super: Broly,-0.047678951339325024,-0.039880263659806355,0
Miracle in Cell No. 7,0.032095655214871295,-0.035468661389044684,3
La Maison en Petits Cubes,-0.09646724502364144,-0.03902964717946991,3
Harry Potter and the Philosopher's Stone,-0.016847427865615227,0.04870561324021433,3
In the Name of the Father,-0.10385702552449612,-0.08721704012279637,3
"No manches, Frida 2: paraíso destruido",0.021630069987235222,-0.04464395749136403,3
La La Land,-0.05434293562586223,-0.010808255675352188,1
V for Vendetta,-0.025323985574978638,0.024710223026690584,3
Rebecca,0.11735790427211643,-0.018837913247431767,2
A Whisker Away,0.0005137210317665321,0.02699185773675965,2
Regular Show: The Movie,-0.050719902368094816,-0.04879283749474921,1
Coraline,-0.06208103465718649,-0.023457864388004797,2
In This Corner of the World,0.04545065164889914,0.003213709700246825,2
On the Waterfront,-0.007096436122006423,-0.07710955398465652,3
STRAW,-0.043824323513579566,-0.06301431925581913,2
The Witch: Part 1. The Subversion,-0.020240773195929342,0.08293750990540977,2
My Father's Violin,-0.03620571512894065,0.014281483817949678,2
Young Woman and the Sea,0.013545398054687352,0.1186476903636909,0
The Boy Who Harnessed the Wind,-0.00436879212935699,0.10075374332505398,3
Captain Fantastic,0.040966240377208814,0.0027869014856441283,3
Winter Light,-0.0018834664750536356,0.06502926369840133,3
